boro,budgetline,type,description,fy17cn,fy17cx,fy17f,fy17s,fy17p,fy17total
citywide,AG-C001,AG,"IMPROVEMENTS TO PROPERTY USED BY DEPARTMENT FOR THE AGING, CITYWIDE",0,,,,,0
citywide,AG-D001,AG,"IMPROVEMENTS TO PROPERTY, CITYWIDE",1010000,,,,,1010000
citywide,AG-D999,AG,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
citywide,AG-1,AG,"IMPROVEMENTS TO PROPERTY USED BY DEPARTMENT FOR THE AGING, CITYWIDE",0,0,0,,,0
citywide,AG-2,AG,"PURCHASE OF AUTOS, COMPUTERS, OTHER EQUIP FOR THE AGING, CITYWIDE",0,,,,,0
bronx,AG-DN184,AG,"HEBREW HOME FOR THE AGED",1013000,,,,,1013000
bronx,AG-DN334,AG,"PRESBYTERIAN SENIOR SERVICES",0,,,,,0
bronx,AG-DN770,AG,"RIVERDALE SENIOR SERVICES, INC.",0,,,,,0
bronx,AG-X001,AG,"IMPROVEMENTS TO PROPERTY USED BY THE DEPARTMENT FOR THE AGING, BRONX",0,,,,,0
brooklyn,AG-DN216,AG,"JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND (JCCGCI)",0,,,,,0
brooklyn,AG-DN837,AG,"AMICO SENIOR CENTER",0,,,,,0
brooklyn,AG-DN865,AG,"CONSELYEA STREET BLOCK ASSOCIATION",3000000,,,,,3000000
brooklyn,AG-DN950,AG,"BAY RIDGE CENTER, INC.",62000,,,,,62000
brooklyn,AG-KN779,AG,"BETHLEHEM EVANGELICAL LUTHERAN CHURCH",0,,,,,0
brooklyn,AG-K999,AG,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
manhattan,AG-DN011,AG,"AGING IN AMERICA",0,,,,,0
manhattan,AG-DN100,AG,"CHINESE-AMERICAN PLANNING COUNCIL",0,,,,,0
manhattan,AG-DN130,AG,"DOROT FOUNDATION",0,,,,,0
manhattan,AG-DN235,AG,"LENOX HILL NEIGHBORHOOD ASSOCIATION",0,,,,,0
manhattan,AG-DN262,AG,"MET COUNCIL ON JEWISH POVERTY",0,,,,,0
manhattan,AG-DN410,AG,"SENIOR ACTION IN A GAY ENVIRONMENT (SAGE)",0,,,,,0
manhattan,AG-DN658,AG,"HAMILTON-MADISON HOUSE",0,,,,,0
manhattan,AG-DN797,AG,"ISABELLA GERIATRIC CENTER",0,,,,,0
manhattan,AG-DN798,AG,"SERVICE PROGRAM FOR OLDER PEOPLE, INC.",0,,,,,0
manhattan,AG-DN932,AG,"WOODSTOCK HDFC FOR SENIOR CITIZENS",513000,,,,,513000
manhattan,AG-MN235,AG,"LENOX HILL NEIGHBORHOOD HOUSE, INC.",0,,,,,0
manhattan,AG-MN410,AG,"SENIOR ACTION IN A GAY ENVIRONMENT (SAGE)",0,,,,,0
manhattan,AG-MN516,AG,"JEWISH HOME & HOSPITAL LIFECARE SYSTEM",0,,,,,0
manhattan,AG-MN660,AG,"FIND AID FOR THE AGED INC.",0,,,,,0
manhattan,AG-MN797,AG,"ISABELLA GERIATRIC CENTER",0,,,,,0
manhattan,AG-M001,AG,"IMPROVEMENTS TO PROPERTY USED BY THE DEPT FOR THE AGING, MANHATTAN",100000,,,,,100000
manhattan,AG-M999,AG,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
queens,AG-DN145,AG,"ELMCOR YOUTH AND ADULT ACTIVITIES, INC.",0,,,,,0
queens,AG-DN380,AG,"SERVICES NOW FOR ADULT PERSONS, INC. (SNAP)",118000,,,,,118000
queens,AG-DN494,AG,"PARKER JEWISH INSTITUTE",0,,,,,0
queens,AG-DN593,AG,"SUNNYSIDE COMMUNITY SERVICES, INC.",0,,,,,0
queens,AG-DN895,AG,"JACOB A. RIIS NEIGHBORHOOD SETTLEMENT",0,,,,,0
queens,AG-QN100,AG,"CHINESE-AMERICAN PLANNING COUNCIL",0,,,,,0
queens,AG-QN145,AG,"ELMCOR YOUTH AND ADULT ACTIVITIES, INC.",0,,,,,0
queens,AG-QN380,AG,"SERVICES NOW FOR ADULT PERSONS, INC. (SNAP)",257000,,,,,257000
queens,AG-QN593,AG,"SUNNYSIDE COMMUNITY SERVICES, INC.",0,,,,,0
queens,AG-QN663,AG,"INDIA HOME INC.",0,,,,,0
queens,AG-Q999,AG,"CONSTRUCTION OR ACQUISITION OF A NON-CITY OWNED PUBLIC BETTERMENT",0,,,,,0
richmond,AG-R001,AG,"IMPROVEMENTS TO PROPERTY USED BY THE DEPARTMENT FOR THE AGING, S.I.",0,,,0,,0
citywide,BR-8,BR,"RECONSTRUCTION & IMPROVEMENT OF EXISTING BRIDGES",50000000,,20000000,10000000,5000000,85000000
bronx,BR-76,BR,"RECONSTRUCT WILLIS AVE BR. OVER HARLEM RIVER, MANHATTAN AND THE BRONX",318000,,0,0,,318000
bronx,BR-287,BR,"RECONSTRUCTION: MACOMBS DAM BRIDGE OVER HARLEM RIVER",0,,0,0,,0
brooklyn,BR-156,BR,"MANHATTAN BRIDGE, RECONSTRUCTION",0,,0,0,0,0
brooklyn,BR-270,BR,"REHABILITATION OF BROOKLYN BRIDGE",113292000,,32476000,0,,145768000
brooklyn,BR-277,BR,"REHABILITATION OF PULASKI BRIDGE",0,,0,0,,0
brooklyn,BR-291,BR,"9TH STREET BRIDGE OVER GOWANUS CANAL, BIN 2-24024, BROOKLYN",0,,,0,,0
manhattan,BR-76,BR,"RECONSTRUCT WILLIS AVE BR. OVER HARLEM RIVER, MANHATTAN AND THE BRONX",318000,,0,0,,318000
manhattan,BR-156,BR,"MANHATTAN BRIDGE, RECONSTRUCTION",0,,0,0,0,0
manhattan,BR-231,BR,"QUEENSBORO BRIDGE, REHABILITATION",298355000,,0,389000,,298744000
manhattan,BR-253,BR,"RECONSTRUCTION OF WILLIAMSBURG BRIDGE",10000000,,0,0,0,10000000
manhattan,BR-270,BR,"REHABILITATION OF BROOKLYN BRIDGE",113292000,,32476000,0,,145768000
manhattan,BR-287,BR,"RECONSTRUCTION: MACOMBS DAM BRIDGE OVER HARLEM RIVER",0,,0,0,,0
queens,BR-231,BR,"QUEENSBORO BRIDGE, REHABILITATION",298355000,,0,389000,,298744000
queens,BR-277,BR,"REHABILITATION OF PULASKI BRIDGE",0,,0,0,,0
queens,BR-289,BR,"RECONSTRUCTION, RIKERS ISLAND BRIDGE",0,,,0,,0
citywide,C-74,C,"ADOLESCENT RECEPTION DETENTION CENTER, RI",0,,,,,0
citywide,C-75,C,"CORRECTION FACILITIES, CONSTRUCTION, RECONS & IMPROVEMENTS, CITYWIDE",83007000,,0,,,83007000
citywide,C-110,C,"COMMUNICATION SYSTEMS IMPROVEMENTS, ETC., CORRECTION FACILITIES",0,,,,,0
